family,strategy,top_k,triple_intersection,triple_union,triple_jaccard,cat_attr_jaccard,cat_rel_jaccard,attr_rel_jaccard,cat_attr_restricted_cos,cat_rel_restricted_cos,attr_rel_restricted_cos
headnorm_contrast_l0p5,shared,16,16,16,1.0,1.0,1.0,1.0,0.15995399883080788,-0.3442233991692441,-0.3017025626648433
headnorm_contrast_l0p75,random,16,16,16,1.0,1.0,1.0,1.0,0.24504344088828567,-0.3315412002554853,-0.18660208142739063
headnorm_contrast_l0p75,shared,16,16,16,1.0,1.0,1.0,1.0,-0.07624064304213324,-0.5863117131604797,-0.5486479763731438
headnorm_contrast_l1,random,16,16,16,1.0,1.0,1.0,1.0,-0.12293808125959231,-0.7166753481056954,-0.6040100301423442
headnorm_contrast_l1,shared,16,16,16,1.0,1.0,1.0,1.0,-0.19121555048102282,-0.6503366899572963,-0.621274609762955
pca_remove1,random,16,16,16,1.0,1.0,1.0,1.0,-0.2214567239921439,-0.6616225062557882,-0.5846980960136742
pca_remove1,shared,16,16,16,1.0,1.0,1.0,1.0,-0.30493892753275853,-0.7296133093634748,-0.4288015042551856
pca_remove2,hybrid,16,16,16,1.0,1.0,1.0,1.0,-0.9999408805352168,0.9974892406025588,-0.9968255335385888
pca_remove2,random,16,16,16,1.0,1.0,1.0,1.0,-1.0,0.9999994200701877,-0.9999993951553673
pca_remove2,shared,16,16,16,1.0,1.0,1.0,1.0,-0.9999998013026006,0.999999509844864,-0.9999994887749961
pca_remove3,random,16,16,16,1.0,1.0,1.0,1.0,0.459522626694597,0.3803674979239308,0.3789563073315401
pca_remove3,shared,16,16,16,1.0,1.0,1.0,1.0,0.05290902393577605,-0.05308906969078363,0.644413058298504
pca_remove5,random,16,16,16,1.0,1.0,1.0,1.0,0.459522626694597,0.3803674979239308,0.3789563073315401
pca_remove5,shared,16,16,16,1.0,1.0,1.0,1.0,0.05290902393577605,-0.05308906969078363,0.644413058298504
raw,random,16,16,16,1.0,1.0,1.0,1.0,0.9334736653898049,0.8650911628457374,0.8671127188347294
raw,shared,16,16,16,1.0,1.0,1.0,1.0,0.905017721247614,0.7925519213288451,0.8526390251092989
contrast_l0p25,ratio,32,0,96,0.0,0.0,0.0,0.0,0.6713114825012312,0.3538371970938156,0.40914196240179257
contrast_l0p5,ratio,32,0,96,0.0,0.0,0.0,0.0,0.42358168070906144,0.05816737310584655,0.130950930239746
contrast_l0p75,hybrid,32,0,86,0.0,0.14285714285714285,0.015873015873015872,0.015873015873015872,-0.2980352943383007,-0.5778433829503637,-0.4718994199598785
contrast_l0p75,ratio,32,0,96,0.0,0.0,0.0,0.0,0.013352263041220091,-0.3449356467111212,-0.29116810061731674
contrast_l1,hybrid,32,0,96,0.0,0.0,0.0,0.0,-0.578467901354384,-0.8006683489911426,-0.6879974851683818
contrast_l1,ratio,32,0,96,0.0,0.0,0.0,0.0,-0.5499030605699002,-0.8517600043351963,-0.7486611988882655
global_residual,hybrid,32,0,95,0.0,0.015873015873015872,0.0,0.0,-0.5886323930093816,-0.7931908403011972,-0.6870527441023881
global_residual,ratio,32,0,96,0.0,0.0,0.0,0.0,-0.5717753449271172,-0.8481598000850595,-0.7409920096209973
headnorm_contrast_l0p25,ratio,32,0,96,0.0,0.0,0.0,0.0,0.5064812131019778,0.17961785340951547,0.2600900108515807
headnorm_contrast_l0p5,ratio,32,0,96,0.0,0.0,0.0,0.0,0.14958364318942732,-0.23211690687047584,-0.1530157862934201
headnorm_contrast_l0p75,hybrid,32,0,88,0.0,0.14285714285714285,0.0,0.0,-0.40155544409891564,-0.5712929625647386,-0.5551022100717347
headnorm_contrast_l0p75,ratio,32,0,96,0.0,0.0,0.0,0.0,-0.29944164140667107,-0.625147430166575,-0.5296830998348057
headnorm_contrast_l1,hybrid,32,0,96,0.0,0.0,0.0,0.0,-0.5970527945313487,-0.7396715919157854,-0.6965502697416143
headnorm_contrast_l1,ratio,32,0,95,0.0,0.015873015873015872,0.0,0.0,-0.5414218620317669,-0.8255401250452821,-0.7138547804885205
headnorm_contrast_l1,specificity_cos,32,0,89,0.0,0.10344827586206896,0.0,0.015873015873015872,-0.4904415460054503,-0.7139185881262445,-0.6701160202463715
pca_remove1,hybrid,32,0,96,0.0,0.0,0.0,0.0,-0.6103474101275609,-0.7940276567313871,-0.6727068061625647
pca_remove1,ratio,32,0,96,0.0,0.0,0.0,0.0,-0.626430195078914,-0.8435976997703488,-0.711818916834327
pca_remove2,ratio,32,0,86,0.0,0.16363636363636364,0.015873015873015872,0.0,-0.9999998656687556,0.9999985981333607,-0.9999982499601866
pca_remove3,ratio,32,0,96,0.0,0.0,0.0,0.0,0.20508565260712475,0.11926498523397909,0.16439785585363867
pca_remove5,ratio,32,0,96,0.0,0.0,0.0,0.0,0.20508565260712475,0.11926498523397909,0.16439785585363867
raw,ratio,32,0,95,0.0,0.0,0.0,0.015873015873015872,0.8021861936295523,0.5863856225306566,0.6257681614818614
headnorm_contrast_l0p75,specificity_cos,32,1,86,0.011627906976744186,0.12280701754385964,0.015873015873015872,0.04918032786885246,-0.3358354258651211,-0.6152640613393554,-0.5592920125741974
headnorm_contrast_l0p25,contrast_norm,32,4,73,0.0547945205479452,0.16363636363636364,0.18518518518518517,0.14285714285714285,0.41194424587599127,0.0588871689966325,0.16854372684390137
headnorm_contrast_l0p5,contrast_norm,32,4,73,0.0547945205479452,0.16363636363636364,0.18518518518518517,0.14285714285714285,0.08306626558203706,-0.3478441828014836,-0.22870729711450732
headnorm_contrast_l0p75,contrast_norm,32,4,73,0.0547945205479452,0.16363636363636364,0.18518518518518517,0.14285714285714285,-0.2315764153290928,-0.6515297155583215,-0.552865025311132
headnorm_contrast_l1,contrast_norm,32,4,73,0.0547945205479452,0.16363636363636364,0.18518518518518517,0.14285714285714285,-0.3673999818519893,-0.7269622480649456,-0.6526077080735733
headnorm_contrast_l1,norm,32,4,73,0.0547945205479452,0.16363636363636364,0.18518518518518517,0.14285714285714285,-0.3673999818519893,-0.7269622480649456,-0.6526077080735733
